Nanoparticle_Type,Base_Fluid,Volume_Fraction (%),Temperature (°C),Flow_Velocity (m/s),Thermal_Conductivity (W/mK),Specific_Heat_Capacity (J/kgK),Density (kg/m³),Viscosity (Pa·s),Heat_Transfer_Coefficient (W/m²K)
SiO2,Ethylene Glycol,0.93,23.7,2.562,1.656,1038,1931,0.00532,7938.510762
TiO2,Ethylene Glycol,2.81,28.8,1.618,1.618,2847,1578,0.00324,5609.880369
ZnO,Oil,4.33,26.7,0.445,0.937,2369,1837,0.00141,1281.978823
SiO2,Water,0.47,46.8,1.391,1.103,960,1054,0.00186,3698.528786
CuO,Water,3.09,55.9,1.427,1.822,3459,1013,0.00357,3729.510637
TiO2,Ethylene Glycol,1.7,43.8,2.761,1.551,2362,1743,0.00738,7879.686515
Al2O3,Propylene Glycol,4.33,48.1,1.227,1.416,3026,1900,0.00272,3264.283704
SiO2,Oil,2.64,73.3,0.536,1.695,4392,1246,0.00282,2630.521331
Al2O3,Oil,1.69,61.2,2.585,1.697,1047,1097,0.00215,6399.585113
CuO,Water,3.14,27.3,1.865,1.328,4076,1969,0.00566,5683.249609
ZnO,Oil,4.69,32.1,2.389,1.696,2300,1073,0.00198,3293.058489
ZnO,Propylene Glycol,1.81,64.5,2.683,1.428,3156,1878,0.00752,8475.788065
SiO2,Water,0.12,31.3,1.195,1.588,4002,1068,0.009,4122.526229
TiO2,Oil,2.52,61,1.442,0.669,3246,950,0.00687,1741.464171
Al2O3,Ethylene Glycol,3.47,39.6,1.424,1.938,2630,1461,0.00742,3113.598885
CuO,Propylene Glycol,0.69,73.7,1.426,1.551,1683,999,0.00851,2942.636286
Al2O3,Ethylene Glycol,2.98,65.5,0.201,1.451,1872,1368,0.00614,566.3268429
CuO,Propylene Glycol,2.98,70.9,1.297,1.266,4415,1936,0.0054,4409.079845
SiO2,Ethylene Glycol,1.21,48.7,0.273,1.553,3684,1321,0.00547,1483.18547
TiO2,Ethylene Glycol,4.16,31.1,0.229,1.517,1356,1808,0.00505,513.0979718
SiO2,Ethylene Glycol,1.07,42.3,0.314,1.321,2833,1296,0.00074,2998.817075
SiO2,Oil,4.58,37.2,2.8,1.237,3524,1944,0.00468,4520.048259
ZnO,Ethylene Glycol,1.7,65.8,0.283,1.234,1770,1147,0.00175,1176.01923
TiO2,Ethylene Glycol,0.5,63.6,0.336,0.681,1626,1303,0.00702,720.6166474
SiO2,Water,4.74,74.2,0.87,1.156,1809,1198,0.00789,650.9479996
Al2O3,Water,2.37,82.6,2.653,0.684,2109,1208,0.00969,2419.002328
ZnO,Oil,4,30.1,0.608,1.853,2096,1126,0.00827,905.0836573
Al2O3,Water,1.25,84.6,2.344,0.794,4323,1564,0.00539,6644.477189
TiO2,Ethylene Glycol,2.24,87.2,0.612,1.612,3153,1616,0.00301,3224.375413
TiO2,Ethylene Glycol,1.03,67.6,1.266,1.269,1155,1542,0.00961,2576.727255
ZnO,Propylene Glycol,2.75,74.3,0.476,1.657,1903,1986,0.00132,3211.529989
ZnO,Ethylene Glycol,4.66,58.2,0.514,1.526,2862,1589,0.00714,833.7749934
TiO2,Water,0.17,63.4,0.289,1.851,3772,1770,0.00898,2068.782468
Al2O3,Ethylene Glycol,0.74,71.5,2.519,0.873,3697,1560,0.00586,7500.409019
CuO,Propylene Glycol,4.65,24.8,1.785,1.512,3868,1050,0.00394,2288.833228
ZnO,Water,4.7,54.4,0.765,0.636,2154,1489,0.00984,471.9022839
Al2O3,Oil,4.85,25.3,1.971,1.395,2646,1105,0.00182,2585.945272
CuO,Propylene Glycol,0.31,62.1,1.068,1.194,3045,950,0.00687,2865.727817
SiO2,Ethylene Glycol,3.76,59.3,1.945,1.406,2355,897,0.00178,3370.521355
SiO2,Propylene Glycol,3.67,64.3,0.611,1.852,1354,1379,0.00624,1122.117784
SiO2,Oil,0.82,29.5,0.999,2.011,1356,1220,0.00467,3356.94988
CuO,Water,3.17,79,0.662,1.734,3013,1021,0.00329,1903.581082
TiO2,Water,0.81,35.9,0.219,1.459,2417,1501,0.00888,992.0139466
CuO,Water,3.24,30.8,1.704,1.164,4102,1914,0.00625,4262.597378
CuO,Water,0.48,68.9,1.237,1.968,3767,1696,0.00154,12478.31231
CuO,Ethylene Glycol,4.58,25.3,1.574,1.154,3554,1224,0.00091,3407.331524
Al2O3,Oil,4.06,63.6,0.677,1.367,3879,1576,0.00662,1475.820292
TiO2,Water,2.21,58.7,1.918,1.166,3946,1604,0.00503,6053.442281
Al2O3,Oil,4.85,27.3,1.16,1.146,4478,1402,0.00646,1370.396586
ZnO,Oil,0.87,20.7,2.354,1.284,2700,1601,0.00957,6243.355261
Al2O3,Ethylene Glycol,2.24,83.9,1.501,1.402,4481,1833,0.00557,5870.167465
CuO,Oil,0.1,51.6,1.447,1.779,2950,1063,0.00771,4922.114938
SiO2,Propylene Glycol,2.28,48,0.403,0.797,1916,951,0.00636,592.8312404
SiO2,Water,0.13,28.7,1.077,1.891,1132,1027,0.00962,2474.549866
Al2O3,Water,3.53,26.4,0.781,1.209,1035,1406,0.00336,1275.853599
ZnO,Ethylene Glycol,3.84,60.4,1.875,1.42,2860,1014,0.00666,2290.929609
SiO2,Water,1.84,61.4,0.707,1.779,3221,1233,0.00212,3892.757988
SiO2,Water,3.43,32.8,0.206,0.878,1056,1128,0.00664,248.955745
SiO2,Ethylene Glycol,2.55,23.5,0.463,1.997,1991,1721,0.00891,1529.186897
TiO2,Ethylene Glycol,4.81,83.5,2.24,1.932,2751,989,0.00423,2392.815521
CuO,Propylene Glycol,3.07,66.3,0.766,1.13,1972,975,0.00759,925.9864055
TiO2,Oil,0.46,33.4,1.07,0.727,3362,1761,0.00223,5372.209772
TiO2,Water,3.91,67.7,0.16,1.183,1758,1108,0.00329,323.371813
SiO2,Oil,4.33,58.5,1.819,1.148,2099,1180,0.00361,1934.550579
CuO,Ethylene Glycol,4.93,84.2,2.53,1.415,3465,1758,0.00616,2856.226511
Al2O3,Propylene Glycol,4.04,71.3,2.129,1.509,1243,1915,0.00662,2885.596835
ZnO,Propylene Glycol,3.96,51.3,2.528,1.032,4020,1958,0.00203,7014.442892
ZnO,Ethylene Glycol,1.34,50.9,2.774,1.093,2090,963,0.00969,3624.825492
CuO,Water,2.32,74.6,2.68,1.157,3722,1573,0.00238,9819.817815
Al2O3,Oil,0.8,49.9,0.667,1.918,4092,1340,0.00089,8058.99719
CuO,Water,1.99,58.7,2.325,1.345,3727,1619,0.0007,16841.82394
Al2O3,Propylene Glycol,0.15,83,1.663,1.913,1565,1881,0.00802,6908.464322
CuO,Propylene Glycol,4.65,72.1,2.228,1.787,3354,1155,0.00764,2412.674478
TiO2,Oil,3.15,45.7,0.635,1.007,1163,1216,0.0036,999.3471459
ZnO,Ethylene Glycol,4.35,33.2,0.426,1.732,3411,1783,0.00549,1155.208262
TiO2,Water,3.77,78,1.371,1.992,2940,1100,0.00576,2601.074043
TiO2,Ethylene Glycol,0.68,21.8,2.266,1.504,3116,1495,0.00638,8346.449662
CuO,Oil,1.57,37.3,1.612,0.638,3500,1077,0.00729,2476.113783
Al2O3,Water,3.55,20.5,1.004,1.928,1903,1513,0.00414,2629.185825
ZnO,Propylene Glycol,4.79,74.6,2.667,0.857,3688,917,0.0042,1834.818494
CuO,Water,1.71,25.3,2.213,1.537,3325,1168,0.00806,5403.457377
ZnO,Propylene Glycol,2.71,31,0.359,1.68,3725,1757,0.0091,1390.349004
CuO,Water,3.18,23.6,1.427,0.777,3405,935,0.0089,1387.184719
CuO,Ethylene Glycol,2.61,65.8,0.935,0.768,2034,1820,0.00658,1825.311988
Al2O3,Ethylene Glycol,3.41,56.7,2.706,1.754,2716,1008,0.00054,10896.4554
SiO2,Ethylene Glycol,3.41,20.5,2.451,1.313,2962,1469,0.00105,8582.390355
SiO2,Oil,0.83,38.8,2.971,1.872,1324,1373,0.00722,6848.567265
CuO,Ethylene Glycol,2.69,33.9,1.009,0.632,2988,1954,0.00822,1920.609262
SiO2,Water,4.7,40.7,2.688,0.987,1722,1752,0.00534,2316.009909
TiO2,Ethylene Glycol,1.07,28.9,1.8,1.774,3483,1182,0.00937,5387.641369
Al2O3,Propylene Glycol,4.6,36.5,2.839,1.681,3516,1030,0.00071,6448.327053
TiO2,Oil,2.07,21.7,2.043,1.427,4216,1263,0.00087,12264.12128
CuO,Propylene Glycol,1.97,25.9,1.558,1.423,1845,1789,0.00796,3977.855405
TiO2,Ethylene Glycol,1.24,60,0.911,1.626,4098,1264,0.00166,6417.870889
ZnO,Ethylene Glycol,1.94,68.4,2.695,1.879,2563,1912,0.00503,10589.61985
ZnO,Oil,2.31,58.6,0.996,1.372,3173,1821,0.00817,3151.414183
ZnO,Ethylene Glycol,1.67,36.7,0.747,0.681,847,1073,0.0096,694.2778756
SiO2,Ethylene Glycol,1.24,21.3,2.785,0.883,2971,958,0.00774,4004.020578
ZnO,Water,2.85,39.7,1.941,1.84,2272,1430,0.00686,4369.51177
Al2O3,Ethylene Glycol,2.61,73.8,0.546,1.076,2625,1000,0.00549,1071.588791
CuO,Water,1.69,89.7,2.041,1.584,2300,1591,0.00902,5393.384622
CuO,Water,4.21,74.5,1.962,0.767,1794,1334,0.00588,1517.440332
SiO2,Propylene Glycol,0.95,45.2,2.006,1.725,4479,896,0.00129,11525.25327
ZnO,Ethylene Glycol,4.71,64.1,0.646,1.441,3222,1688,0.00745,1037.05077
SiO2,Ethylene Glycol,1.79,23.7,0.212,1.256,1765,1629,0.00593,791.6720895
TiO2,Oil,3.89,34.1,2.563,1.631,2953,1877,0.00851,4530.246723
Al2O3,Oil,1.46,43,1.035,1.893,3355,1964,0.0072,5469.41351
SiO2,Ethylene Glycol,1.3,39.4,1.697,0.968,4386,1633,0.00212,8777.111699
CuO,Ethylene Glycol,3.73,42.2,1.027,1.113,1636,1865,0.00642,1682.578935
TiO2,Ethylene Glycol,2.47,72,1.743,1.692,1798,1367,0.00498,4263.517172
Al2O3,Oil,4.56,81.5,1.391,0.971,2636,1622,0.00736,1421.734752
ZnO,Propylene Glycol,3.51,48.8,1.995,1.778,3608,1544,0.00419,5548.140442
Al2O3,Ethylene Glycol,2.7,28.6,0.183,1.176,1206,1552,0.00914,387.6528294
CuO,Oil,4.38,53.3,0.581,1.087,1583,1412,0.00872,555.6042858
SiO2,Oil,1.99,82,1.118,1.627,1066,1616,0.00244,3965.243713
Al2O3,Propylene Glycol,1.17,34.8,0.843,1.936,3849,1147,0.00636,3555.828565
SiO2,Propylene Glycol,4.66,52.3,0.39,1.342,1455,1025,0.0087,301.5607877
TiO2,Propylene Glycol,4.01,21.3,2.472,1.929,1626,1041,0.00341,3248.418474
SiO2,Ethylene Glycol,3.08,70.3,2.617,1.313,3609,1461,0.00132,9882.807201
SiO2,Water,1.91,40.2,1.837,1.527,916,1881,0.00734,3939.6243
SiO2,Ethylene Glycol,4.83,69.2,1.543,1.479,4091,1484,0.00125,3910.2705
CuO,Propylene Glycol,4.45,70.8,2.67,1.515,1929,1722,0.00235,4617.922554
ZnO,Ethylene Glycol,0.28,76.4,2.707,1.594,3281,985,0.00942,6905.469472
CuO,Oil,0.71,28.5,1.998,0.801,3617,1953,0.00176,11298.16071
SiO2,Oil,1.24,45.1,0.659,1.238,871,1160,0.00448,1438.042044
ZnO,Oil,0.87,68.8,1.796,0.836,1110,935,0.00424,2525.907694
ZnO,Ethylene Glycol,2.68,45.6,0.348,1.127,3084,1735,0.00986,992.2092804
TiO2,Ethylene Glycol,1.89,86.9,1.462,1.64,1506,1620,0.00146,7234.898458
ZnO,Water,1.71,20.4,2.03,1.145,937,1593,0.00638,3499.773383
ZnO,Propylene Glycol,4.25,23.6,2.845,1.857,3090,1559,0.00985,4120.109604
CuO,Water,4.95,75.2,0.771,1.732,2100,1611,0.00841,874.754753
SiO2,Oil,1.38,65.9,0.337,0.745,3120,1526,0.0023,1639.004807
CuO,Oil,4.17,21.9,0.588,0.804,2400,1986,0.00205,1447.832383
Al2O3,Propylene Glycol,4.98,26.7,1.872,1.134,3972,1501,0.00331,2438.536821
SiO2,Propylene Glycol,1.39,29.2,0.868,1.887,2259,1313,0.00586,3164.161765
SiO2,Ethylene Glycol,0.34,29.4,1.202,1.57,1861,1893,0.00565,5234.167164
TiO2,Ethylene Glycol,2.59,28.1,1.071,1.78,2253,1289,0.00929,2156.608742
Al2O3,Oil,3.74,67.6,2.958,1.371,1075,1563,0.00715,2907.687219
ZnO,Oil,0.21,26.7,2.806,1.601,4002,1618,0.00884,11241.26822
ZnO,Water,4.61,57.8,1.729,1.245,1209,1253,0.00084,2775.825209
Al2O3,Water,3.58,55.8,0.779,1.961,1290,1778,0.00541,1831.559414
Al2O3,Propylene Glycol,4.55,30.3,2.615,1.584,1151,1915,0.00124,5363.669059
SiO2,Water,2.35,39.5,1.942,1.094,1233,1360,0.00102,5922.109243
CuO,Water,0.31,29.9,1.498,1.028,1488,1596,0.00808,3562.464121
TiO2,Ethylene Glycol,2.4,21.3,0.813,1.684,4297,1658,0.00153,6069.093667
Al2O3,Water,4.57,29.2,2.962,1.967,2958,1588,0.00421,4767.23169
CuO,Propylene Glycol,0.32,70.1,0.802,0.77,1344,1658,0.00175,3360.082359
SiO2,Propylene Glycol,4.4,73.9,2.749,1.82,805,1604,0.00436,2986.085949
CuO,Water,2.98,80,1.133,1.504,1641,1506,0.00601,2330.752945
CuO,Water,1.9,66,0.87,0.835,2559,1665,0.00588,2264.811312
Al2O3,Water,0.56,67.5,0.739,1.795,1441,1415,0.00401,3262.368965
TiO2,Ethylene Glycol,2.21,22.6,1.908,1.058,2107,1951,0.0096,3888.139043
TiO2,Water,1.22,57.2,2.299,0.908,3411,1137,0.00302,6412.437324
ZnO,Oil,4.53,74.6,0.981,1.742,3094,1157,0.00532,1450.438499
CuO,Ethylene Glycol,4.85,40.7,0.414,1.288,4031,1012,0.00525,508.7109883
CuO,Oil,0.6,67.5,1.456,0.893,2034,935,0.00381,3126.16729
SiO2,Ethylene Glycol,1.2,56.3,0.778,1.825,2357,992,0.00679,2223.488672
TiO2,Ethylene Glycol,2.2,38.7,0.538,1.166,947,1873,0.00471,1385.43822
ZnO,Ethylene Glycol,2.17,70.7,2.437,1.156,2144,1636,0.00583,5511.260344
TiO2,Water,3.25,75.1,1.847,1.725,2006,1515,0.00854,3219.558719
ZnO,Oil,2.24,30,1.047,1.074,4314,1855,0.00342,4545.860127
Al2O3,Ethylene Glycol,3.95,47.3,2.925,1.969,3520,1770,0.00963,5332.460865
CuO,Propylene Glycol,0.55,51.8,2.782,1.719,1988,1274,0.0086,7077.998008
SiO2,Ethylene Glycol,1.58,44.5,1.765,1.575,2972,1423,0.00359,6866.240604
SiO2,Ethylene Glycol,4.4,33.6,2.521,0.934,3595,1384,0.00455,2952.835846
Al2O3,Propylene Glycol,3.42,63.2,1.686,1.153,3020,1054,0.00191,3617.298698
ZnO,Propylene Glycol,4.97,79.3,2.603,1.558,1339,1875,0.00399,2748.464236
Al2O3,Oil,3.68,70.3,0.385,0.661,2216,1644,0.00993,473.5772389
TiO2,Propylene Glycol,1.74,71.6,0.296,1.822,1210,1216,0.00437,942.833531
TiO2,Water,2.92,27,0.581,1.523,2808,1083,0.00288,1801.253062
Al2O3,Water,2.46,37.4,1.683,1.568,2780,1450,0.00184,6936.009098
ZnO,Ethylene Glycol,3.38,65,0.708,1.563,1418,918,0.00939,794.9815722
CuO,Ethylene Glycol,3.13,35.9,0.793,1.933,3909,1521,0.00332,3485.005405
CuO,Oil,2.17,82.5,2.562,0.906,4411,1028,0.00493,4732.378982
SiO2,Oil,2.54,53.4,2.716,0.78,2958,915,0.0074,2785.519224
SiO2,Water,2.88,82.7,1.81,0.959,1339,1522,0.00378,2993.343809
CuO,Ethylene Glycol,3.88,32.4,2.938,1.492,3307,1961,0.00568,6403.200239
SiO2,Ethylene Glycol,0.56,83.2,2.974,1.867,1180,944,0.00498,6291.684959
Al2O3,Ethylene Glycol,4.64,64.9,0.234,1.873,2806,1415,0.00347,605.9087959
SiO2,Oil,3.32,38.6,1.584,1.553,2411,991,0.0037,2869.426975
SiO2,Water,1.33,44.6,2.254,0.651,1118,1442,0.00396,3419.635707
TiO2,Ethylene Glycol,4.36,78.7,2.728,1.813,3569,1307,0.00728,3740.017588
SiO2,Oil,2.53,46.7,2.535,0.761,1870,1094,0.00727,2555.993344
Al2O3,Propylene Glycol,4.13,64.2,1.423,1.774,4387,1448,0.00741,2775.43767
Al2O3,Water,3.69,59.9,0.439,1.04,2095,1210,0.00156,1130.058279
Al2O3,Ethylene Glycol,2.6,76.7,2.567,1.268,2504,1209,0.00717,4072.582642
TiO2,Propylene Glycol,3.67,66.7,1.861,1.382,1123,1039,0.00137,3010.790995
CuO,Oil,0.72,75.4,0.311,1.379,827,1060,0.00758,660.2520616
ZnO,Ethylene Glycol,3.23,51.3,0.888,1.983,3421,1858,0.00058,8575.484866
ZnO,Ethylene Glycol,3.28,73.2,1.825,1.087,3404,1234,0.00493,3148.064325
Al2O3,Oil,0.52,61.7,1.422,0.787,2124,1491,0.00959,3048.520251
ZnO,Propylene Glycol,1.76,82.4,0.637,1.122,4129,1163,0.00765,1758.352456
ZnO,Propylene Glycol,2.2,35.6,0.41,1.426,1639,1219,0.00542,1044.814719
ZnO,Ethylene Glycol,2.34,70.7,2.794,1.947,901,1407,0.00834,4296.891791
ZnO,Water,0.34,37.4,2.973,1.553,3709,1673,0.00243,18835.09156
TiO2,Oil,4.35,64.7,2.342,1.898,813,1592,0.00086,5084.477176
TiO2,Ethylene Glycol,3.62,45,2.507,1.386,2192,1808,0.0067,4366.67858
ZnO,Propylene Glycol,0.54,43.8,1.06,1.358,3296,1570,0.00419,5503.915814
TiO2,Oil,0.11,53.9,0.484,0.746,1345,1518,0.00275,1737.559643
TiO2,Oil,0.6,36.6,0.626,1.523,1854,1983,0.00644,3118.280907
CuO,Propylene Glycol,4.15,24.8,0.249,1.896,3231,1174,0.00591,592.2902116
CuO,Oil,1.55,28.5,2.87,1.4,2355,1619,0.00631,7875.839769
SiO2,Propylene Glycol,1.33,46.9,1.381,1.492,1786,1029,0.00312,3652.575369
CuO,Oil,4.18,75.7,1.849,1.263,1170,1439,0.0037,2035.603092
Al2O3,Oil,2.61,67.5,2.442,1.202,4067,1191,0.00332,6264.174477
Al2O3,Ethylene Glycol,3.19,83.1,1.383,1.935,3646,1936,0.00904,4222.689156
Al2O3,Ethylene Glycol,0.55,30.4,1.978,1.9,978,1223,0.00954,3995.512521
TiO2,Propylene Glycol,2.86,32.9,2.696,1.064,2941,1894,0.00933,4858.886488
SiO2,Oil,2.71,76.1,2.946,1.431,4242,1590,0.00147,14003.78671
Al2O3,Water,2.27,87.9,1.236,1.659,2341,1858,0.00947,3641.189786
ZnO,Oil,4.47,67.2,0.25,1.568,4175,1019,0.00741,420.0243928
SiO2,Ethylene Glycol,4.75,24.1,1.373,1.138,3983,1376,0.00346,1945.679282
ZnO,Propylene Glycol,0.86,52.6,2.74,1.617,1239,916,0.0074,4368.463181
TiO2,Ethylene Glycol,4.27,23.7,0.366,1.332,1766,1315,0.00707,466.1896036
ZnO,Water,4.26,44.1,2.743,0.789,3635,1588,0.00761,2785.451202
Al2O3,Ethylene Glycol,1.61,59.4,2.498,1.555,2373,1624,0.00377,9078.681335
Al2O3,Ethylene Glycol,1.89,49.9,1.782,0.82,2178,1182,0.00054,7403.028546
Al2O3,Water,3.77,61.3,0.652,0.953,2365,1139,0.00318,1009.083247
TiO2,Ethylene Glycol,4.59,44.7,2.175,1.147,2046,1085,0.0093,1293.970812
ZnO,Water,1.9,76.2,1.735,1.17,995,1667,0.00247,4733.445033
TiO2,Ethylene Glycol,1.4,85.2,1.285,1.726,1444,1614,0.00159,6850.053884
ZnO,Propylene Glycol,2.85,74.6,2.507,1.476,1057,1931,0.00475,4970.40156
ZnO,Ethylene Glycol,0.84,55.3,1.919,1.768,1453,1585,0.0028,8620.484736
CuO,Oil,4.25,32,0.924,1.96,990,939,0.00222,1268.030273
ZnO,Water,2.67,81.2,0.294,1.226,2378,1152,0.0047,788.4645833
SiO2,Water,0.68,45.7,1.966,1.376,1139,1694,0.00186,8125.289019
CuO,Water,0.5,23.1,1.273,1.32,3653,1825,0.00239,9336.007065
Al2O3,Oil,0.95,62.1,2.623,1.963,3179,1099,0.00711,7878.910171
CuO,Oil,1.08,85.6,1.352,1.529,1795,1696,0.00171,7620.229828
Al2O3,Water,1.76,46.8,1.377,1.651,4123,1807,0.0086,5666.197689
CuO,Oil,1.6,69.6,1.519,1.842,1775,1842,0.0051,5719.831643
ZnO,Ethylene Glycol,4.01,69,1.728,1.308,3114,1871,0.00231,4942.083603
ZnO,Propylene Glycol,1.31,45.3,2.446,0.943,4175,1379,0.00313,8394.926172
SiO2,Oil,0.45,35.4,0.755,1.567,1435,1416,0.00654,2583.755583
CuO,Water,0.99,22.6,2.182,1.925,1099,1810,0.00747,6464.99608
SiO2,Propylene Glycol,0.43,79.7,2.739,1.301,4108,1420,0.00682,9772.529469
SiO2,Propylene Glycol,2.28,58.6,1.983,1.956,1744,1490,0.0009,11090.58
SiO2,Propylene Glycol,2.78,46.9,1.62,1.468,4044,1567,0.00122,9059.623002
CuO,Ethylene Glycol,3.27,79.7,1.972,0.948,4226,1505,0.00701,3343.79224
ZnO,Ethylene Glycol,2.39,29,2.225,1.803,3688,1145,0.00577,5904.335429
CuO,Oil,2.27,41,2.957,1.504,4428,1297,0.00078,17781.71582
TiO2,Water,1.23,32.8,0.891,1.127,1885,1804,0.00769,2676.433871
ZnO,Oil,1.49,45.1,1.795,1.216,882,1569,0.0098,2801.489756
TiO2,Water,3.33,74.9,2.504,1.402,1739,1400,0.00597,3774.31702
Al2O3,Water,2.96,54.4,2.637,1.766,4372,1701,0.00239,12097.02669
SiO2,Water,0.32,38.8,2.799,1.758,3689,1749,0.00853,12111.85636
SiO2,Ethylene Glycol,4.35,84,2.315,1.407,2479,1950,0.00501,3929.179393
TiO2,Oil,2.66,87.1,1.454,1.195,3927,1831,0.007,4199.206064
TiO2,Water,1.59,51,1.28,0.816,2652,1882,0.00128,6739.706679
TiO2,Ethylene Glycol,2.74,52.3,0.268,1.51,3591,1869,0.00573,1292.398085
CuO,Oil,3.72,68.6,0.813,1.665,2599,1276,0.00555,1644.61792
TiO2,Propylene Glycol,2.48,83.7,1.707,1.521,4496,956,0.00274,5063.24445
ZnO,Ethylene Glycol,1.99,78.5,1.949,1.934,3151,1253,0.00686,5519.722004
SiO2,Ethylene Glycol,3.19,63.1,1.95,0.969,2945,1647,0.00849,2990.599669
CuO,Water,3.2,87.8,1.687,1.376,2176,956,0.00948,1798.284292
TiO2,Water,1.86,86.4,0.128,1.345,3835,1538,0.00807,646.4932874
CuO,Oil,2.4,34.6,1.79,1.718,3395,1836,0.00507,7133.394115
SiO2,Water,1.83,74.4,2.452,1.095,4013,970,0.00244,6983.891497
CuO,Ethylene Glycol,0.72,87.8,0.61,1.585,3055,937,0.00403,2426.138632
Al2O3,Propylene Glycol,4.48,68.3,0.883,0.853,3621,1287,0.00356,1198.605091
Al2O3,Water,2.64,51,1.122,1.806,1030,1841,0.0047,3020.642527
CuO,Water,1.29,76.6,2.688,0.872,1229,947,0.00784,2813.796331
TiO2,Water,3.78,33.3,1.42,1.722,3314,1511,0.00852,2801.805039
TiO2,Ethylene Glycol,0.92,21.9,2.052,1.612,3484,1837,0.00914,8011.028269
SiO2,Water,0.99,87.8,0.77,1.316,1505,1832,0.00532,2905.300713
CuO,Oil,0.61,63.4,1.023,0.675,4214,1253,0.00453,3102.536566
TiO2,Oil,1.96,37,2.91,0.693,4359,1213,0.00901,4271.897152
Al2O3,Ethylene Glycol,3.34,58.3,1.479,0.624,3257,937,0.00558,1411.057092
ZnO,Water,3.81,61.7,1.308,1.807,1069,1742,0.00897,1790.238947
SiO2,Ethylene Glycol,1.28,38,1.49,1.436,2288,995,0.00171,5649.510096
Al2O3,Propylene Glycol,4.25,35.5,2.678,0.896,4201,1350,0.00116,5768.872903
ZnO,Water,4.13,53.5,0.919,1.873,3451,1631,0.00932,1749.422654
SiO2,Water,0.83,65.2,1.371,1.11,967,1103,0.00416,2615.726093
Al2O3,Oil,1.81,20.7,1.16,1.385,4000,1886,0.003,6760.981164
TiO2,Propylene Glycol,0.2,42.4,2.003,1.099,2354,1492,0.0032,7975.978806
Al2O3,Propylene Glycol,4.84,80.6,2.899,0.643,2936,1386,0.00478,1896.91643
Al2O3,Ethylene Glycol,4.29,56.5,0.607,0.908,1576,1104,0.00269,722.4549288
TiO2,Ethylene Glycol,2.2,39.4,0.982,1.419,1111,1585,0.00735,2000.675417
Al2O3,Oil,1.66,88.7,2.824,1.561,3558,1589,0.00096,19990.71865
SiO2,Water,3.37,51.5,1.698,1.7,1952,1883,0.00798,3551.26451
SiO2,Propylene Glycol,4.27,63,1.696,0.91,889,1545,0.0005,3198.530224
Al2O3,Ethylene Glycol,3.38,75.2,2.449,1.06,1205,1276,0.00954,1960.179667
ZnO,Propylene Glycol,4.52,63.3,1.196,1.268,1080,1750,0.00535,1278.980239
ZnO,Water,1.44,43.1,1.449,1.631,2928,1783,0.00226,8867.972121
SiO2,Ethylene Glycol,1.07,84,2.612,1.204,1701,1929,0.00405,8428.553385
SiO2,Water,2.17,69,2.07,1.732,3116,1454,0.00365,7159.797075
Al2O3,Propylene Glycol,1.62,81.9,2.799,1.616,4179,1822,0.00789,10516.81824
SiO2,Oil,4.46,43.5,1.086,0.797,3550,1984,0.00862,1267.368345
TiO2,Oil,3.63,86.3,0.618,1.194,813,1330,0.00355,876.8209897
SiO2,Ethylene Glycol,0.1,44.6,2.757,1.305,1883,1065,0.00355,7707.656975
ZnO,Oil,0.4,30.3,1.487,1.378,1861,1407,0.00374,5667.514827
SiO2,Propylene Glycol,1.79,24.2,2.046,0.712,1164,1868,0.00666,3111.868638
ZnO,Propylene Glycol,0.23,90.6,0.656,1.464,2285,1718,0.00978,2714.114399
ZnO,Ethylene Glycol,4.08,59.4,0.229,1.319,4259,912,0.00847,343.1204069
TiO2,Water,1.16,41.2,0.832,1.858,1688,1466,0.00479,3350.517944
SiO2,Oil,1.79,55.4,2.835,0.612,3494,1872,0.0093,4986.229077
SiO2,Oil,0.94,52.6,1.251,1.909,1119,1444,0.0043,4397.516721
ZnO,Water,0.74,65.6,0.392,1.056,4035,1274,0.00389,1939.166122
TiO2,Water,1.49,42.1,1.928,1.054,800,1338,0.00748,2445.428471
SiO2,Water,0.59,32.5,0.521,1.101,4418,1758,0.00786,2623.984849
TiO2,Propylene Glycol,3.75,20.7,1.359,0.98,2827,1419,0.00813,1653.256714
TiO2,Propylene Glycol,0.81,50.2,0.622,0.656,2127,1033,0.0036,1389.116017
CuO,Water,4.75,64.2,2.496,1.64,1214,1371,0.00897,1703.406608
CuO,Propylene Glycol,3.69,27,2.671,0.997,2067,1220,0.0027,3752.187818
SiO2,Ethylene Glycol,0.22,62.6,0.23,1.866,2666,1115,0.00718,1150.02355
SiO2,Water,4.62,43,2.418,1.964,2612,1199,0.00642,2728.275092
SiO2,Propylene Glycol,4.41,35.9,1.666,1.458,1649,1916,0.00883,1989.727321
ZnO,Ethylene Glycol,3.09,46.1,1.86,0.902,2852,1565,0.00974,2646.216268
Al2O3,Oil,4.56,78.9,1.796,1.842,4012,1078,0.00131,4258.620717
ZnO,Oil,3.22,47.3,2.56,1.584,2017,1960,0.00148,10187.40749
CuO,Water,4.72,43.1,1.419,1.441,4226,1564,0.00123,4104.037984
Al2O3,Water,1.78,26.8,2.706,1.13,3709,1937,0.00818,8020.778183
SiO2,Water,0.13,77.4,0.96,0.7,2489,949,0.00076,4337.460379
SiO2,Water,2.11,70.9,0.828,1.612,4318,1782,0.00914,3356.273873
